item_id,display_name,category,weight,value,equippable,required_ammo_id,description
jerky,Dried Jerky,food,0.5,2,FALSE,,Salted and smoked meat. Keeps well but not forever.
pickled_eggs,Jar of Pickled Eggs,food,3,4,FALSE,,A dozen eggs preserved in brine. Better shared around the fire.
bandages,Bandages,medicine,0.2,3,FALSE,,Clean cloth wrappings for treating wounds.
rifle,Hunting Rifle,trade_goods,9,45,TRUE,rifle_ammo,A reliable single-shot rifle.
rifle_ammo,Rifle Cartridges,ammo,0.05,0.5,FALSE,,Standard cartridges for a hunting rifle.
hide,Animal Hide,crafting_material,4,6,FALSE,,Raw hide from a hunted animal. Useful for tanning.
hammer,Blacksmith's Hammer,equipment,3,4,FALSE,,A sturdy forging hammer for metalwork and repairs.
iron_ingot,Iron Ingot,crafting_material,2,3,FALSE,,Raw iron stock for smithing and repairs.
medical_kit,Medical Kit,medicine,4,15,FALSE,,A stocked kit of bandages
herbs,Medicinal Herbs,medicine,0.5,2,FALSE,,Dried herbs used in field remedies.
trap,Steel Trap,equipment,5,6,FALSE,,A steel leg-hold trap for catching game.
bible,Worn Bible,equipment,1,5,FALSE,, A well-read bible
robes,Preacher's Robes,equipment,2,8,FALSE,,Modest robes worn for sermons and services.
ledger,Accounting Ledger,equipment,1,3,FALSE,,A ledger for tracking accounts and trade.
spectacles,Reading Spectacles,equipment,0.2,5,FALSE,,Wire-framed spectacles for close reading and fine work.
